video_path,label,source,dataset,video_id,sha256
/Users/gokulmallabathula/deep-fake/datasets/raw/Celeb-Youtube-fake/0.mp4,1,,Celeb-Youtube-fake,Celeb-Youtube-fake:0,7062a11c8867b2bdef724a313412094511aa6b4ebe52a792a9a07deb0ecec6cf
/Users/gokulmallabathula/deep-fake/datasets/raw/Celeb-Youtube-fake/1.mp4,1,,Celeb-Youtube-fake,Celeb-Youtube-fake:1,06d003c71bc0b79702298416e55391f38495f45346e7d576435a5418d251da10
/Users/gokulmallabathula/deep-fake/datasets/raw/Celeb-Youtube-fake/10.mp4,1,,Celeb-Youtube-fake,Celeb-Youtube-fake:10,9e66998c0e0645a97ad112013eae9ae62244f7bbac4467d16bcf7747636e8e63
/Users/gokulmallabathula/deep-fake/datasets/raw/Celeb-Youtube-fake/1001.mp4,1,,Celeb-Youtube-fake,Celeb-Youtube-fake:1001,13964c2f76c78acda5769e7fae5ad4634d40d262fdec1a8e3939dfe018189f65
/Users/gokulmallabathula/deep-fake/datasets/raw/Celeb-Youtube-fake/1002.mp4,1,,Celeb-Youtube-fake,Celeb-Youtube-fake:1002,ba39d9b2c7581156222c350ea24c2ed03fdd07bebc6cdd9331379d1368c17fc5
/Users/gokulmallabathula/deep-fake/datasets/raw/Celeb-Youtube-fake/1003.mp4,1,,Celeb-Youtube-fake,Celeb-Youtube-fake:1003,a5d90f3c0e69a23dd4aede6ba5b15a35ebb5a6fc57e4b783b4aae59e9063eb7f
/Users/gokulmallabathula/deep-fake/datasets/raw/Celeb-Youtube-fake/1004.mp4,1,,Celeb-Youtube-fake,Celeb-Youtube-fake:1004,a5be914f197b8ccd93411899f5188ecdc6e8fb8c86324e58b6d86e14f493adc8
/Users/gokulmallabathula/deep-fake/datasets/raw/Celeb-Youtube-fake/1006.mp4,1,,Celeb-Youtube-fake,Celeb-Youtube-fake:1006,994839b566b0ed7ceacdac6f078d9f17e5cedf54ea227aa7001d42b00ee9e8a9
/Users/gokulmallabathula/deep-fake/datasets/raw/Celeb-Youtube-fake/1007.mp4,1,,Celeb-Youtube-fake,Celeb-Youtube-fake:1007,510cbea2d38af8b14a999a16ad788ce77fce8da0bbea3f4d5b4814cf77c283f7
/Users/gokulmallabathula/deep-fake/datasets/raw/Celeb-Youtube-fake/1008.mp4,1,,Celeb-Youtube-fake,Celeb-Youtube-fake:1008,b6e86d15f2932767aecccf696d69e199fc1f4bba132df26c4f5e82185931ac1a
